Date,Symbol,Open,High,Low,Last,Close,Turnover,Trades
30-11-2021,ADANIENT,1668,1718.65,1648.15,1651.2,1662.85,4.96518E+14,71140
01-12-2021,ADANIENT,1694,1705,1652.35,1696,1693.3,4.16568E+14,71689
02-12-2021,ADANIENT,1692.5,1735,1687.65,1733,1732.25,3.69829E+14,53449
03-12-2021,ADANIENT,1734,1745,1701.1,1705.25,1708.1,2.65217E+14,44109
06-12-2021,ADANIENT,1710,1727.95,1640,1646,1645.6,2.64561E+14,47093
07-12-2021,ADANIENT,1658.9,1686.7,1654,1680,1678.45,2.46867E+14,48000
08-12-2021,ADANIENT,1679.8,1726.4,1679.05,1717.75,1715.5,2.40601E+14,41266
09-12-2021,ADANIENT,1725,1739.25,1706.6,1720,1722.25,2.25239E+14,41660
10-12-2021,ADANIENT,1710.6,1788,1710.6,1739.95,1740.4,4.75552E+14,86122
13-12-2021,ADANIENT,1755,1762.2,1711.1,1722.8,1719.55,1.91944E+14,39564
14-12-2021,ADANIENT,1712,1727.9,1683,1718,1720.1,2.04666E+14,38080
15-12-2021,ADANIENT,1720,1727,1687.05,1691.85,1695.3,1.47886E+14,29401
16-12-2021,ADANIENT,1707.3,1719.85,1687,1704,1702.05,1.27949E+14,26543
17-12-2021,ADANIENT,1698.95,1702,1640,1642,1645.3,2.01656E+14,40166
20-12-2021,ADANIENT,1629,1629,1555.2,1586,1589.95,3.0868E+14,64226
21-12-2021,ADANIENT,1621.1,1645.9,1602.9,1623,1620.5,2.53931E+14,53010
22-12-2021,ADANIENT,1631.25,1663.45,1627,1654,1658.1,1.63437E+14,29417
23-12-2021,ADANIENT,1674.7,1684.2,1658.2,1665,1676.2,1.63754E+14,26128
24-12-2021,ADANIENT,1680,1703.95,1658.2,1694.45,1698.2,2.0811E+14,30797
27-12-2021,ADANIENT,1694.75,1738,1686.05,1737,1730.2,2.87707E+14,38508
28-12-2021,ADANIENT,1740,1760,1728.1,1744.8,1751,2.70878E+14,35936
29-12-2021,ADANIENT,1751,1755,1709.4,1712.7,1718.05,1.91055E+14,22071
30-12-2021,ADANIENT,1714,1725,1685,1690,1696.4,2.32136E+14,27031
31-12-2021,ADANIENT,1694.95,1725,1691.05,1707,1709.45,2.24271E+14,22805
03-01-2022,ADANIENT,1713,1733,1711.2,1715,1717.15,1.88536E+14,20578
04-01-2022,ADANIENT,1725.75,1728,1700,1718,1719,2.04423E+14,20693
05-01-2022,ADANIENT,1722,1744.65,1702.55,1714,1715.45,2.7267E+14,35561
06-01-2022,ADANIENT,1710,1723.85,1675.6,1711,1713.1,2.74105E+14,33277
07-01-2022,ADANIENT,1719.9,1730.8,1689.5,1694.9,1699.1,2.21908E+14,29195
10-01-2022,ADANIENT,1707.55,1766,1699.1,1762.5,1752.6,2.89489E+14,34104
11-01-2022,ADANIENT,1758,1850,1737,1850,1843.9,9.22225E+14,132637
12-01-2022,ADANIENT,1873,1873,1808.3,1826.9,1830.1,4.62683E+14,78815
13-01-2022,ADANIENT,1834,1863,1808,1845,1853.35,3.46328E+14,52663
14-01-2022,ADANIENT,1850,1890.45,1831.1,1868.95,1870.25,4.40254E+14,58570
17-01-2022,ADANIENT,1876,1901.4,1855.65,1875,1877.8,3.19874E+14,48854
18-01-2022,ADANIENT,1885,1908.5,1830.05,1836,1840.95,4.31559E+14,68183
19-01-2022,ADANIENT,1839.8,1857,1811.25,1847.95,1849.3,2.83609E+14,41220
20-01-2022,ADANIENT,1855,1880.35,1843.7,1863,1865.85,2.3324E+14,35179
21-01-2022,ADANIENT,1860.85,1873,1810.75,1824.95,1828.35,3.55089E+14,50974
24-01-2022,ADANIENT,1822,1827.45,1696.55,1702,1715.8,4.16367E+14,60825
25-01-2022,ADANIENT,1668,1750.55,1668,1725,1741.4,3.15102E+14,44654
27-01-2022,ADANIENT,1718,1725.55,1654.5,1677,1686,6.02113E+14,63855
28-01-2022,ADANIENT,1702.5,1744.1,1683.95,1694,1693.7,2.78647E+14,48448
31-01-2022,ADANIENT,1708.95,1734,1705,1713,1714.95,1.76353E+14,27848
01-02-2022,ADANIENT,1727.95,1765.1,1699.15,1746,1746.9,2.73156E+14,36800
02-02-2022,ADANIENT,1755,1786,1747,1777.95,1779.35,2.48579E+14,31246
03-02-2022,ADANIENT,1771.95,1787,1746.4,1748.5,1751.85,1.04102E+14,19672
04-02-2022,ADANIENT,1758,1770,1733.7,1754.4,1757.3,1.50267E+14,22314
07-02-2022,ADANIENT,1765,1765.5,1722.1,1730,1731.8,1.49126E+14,27482
